sample	platform	tool	name	reads_in	reads_removed	reads_removed_percent	reads_retained_percent
GCA_016026715.1	illumina	hostile	Salmonella enterica strain FDAARGOS_928 chromosome, complete genome	330094	0	0.0	100.0
GCA_016026735.1	illumina	hostile	Serratia rubidaea strain FDAARGOS_926 chromosome, complete genome	333000	0	0.0	100.0
GCA_016026755.1	illumina	hostile	Lysinibacillus macroides strain FDAARGOS_925 chromosome, complete genome	324176	0	0.0	100.0
GCA_016026835.1	illumina	hostile	Bacillus licheniformis strain FDAARGOS_923 chromosome, complete genome	312892	0	0.0	100.0
GCA_016026855.1	illumina	hostile	Bacillus tropicus strain FDAARGOS_920 chromosome, complete genome	380104	0	0.0	100.0
GCA_016026875.1	illumina	hostile	Aeromonas hydrophila strain FDAARGOS_916 chromosome, complete genome	315580	4	0.001267507446606249	99.99873249255339
GCA_016026895.1	illumina	hostile	Neisseria meningitidis strain FDAARGOS_914 chromosome, complete genome	145422	0	0.0	100.0
GCA_016026915.1	illumina	hostile	Staphylococcus epidermidis strain FDAARGOS_913 chromosome, complete genome	175120	0	0.0	100.0
GCA_016026975.1	illumina	hostile	Aerococcus urinae strain FDAARGOS_911 chromosome, complete genome	131618	0	0.0	100.0
GCA_016026995.1	illumina	hostile	Clostridium perfringens strain FDAARGOS_905 chromosome, complete genome	223168	0	0.0	100.0
GCA_016027015.1	illumina	hostile	Bacillus cereus strain FDAARGOS_918 chromosome, complete genome	363314	0	0.0	100.0
GCA_016027035.1	illumina	hostile	Achromobacter xylosoxidans strain FDAARGOS_915 chromosome, complete genome	454194	2	0.0004403404712523723	99.99955965952874
GCA_016027055.1	illumina	hostile	Acinetobacter johnsonii strain FDAARGOS_910 chromosome, complete genome	241162	0	0.0	100.0
GCA_016027075.1	illumina	hostile	Delftia acidovorans strain FDAARGOS_909 chromosome, complete genome	447236	0	0.0	100.0
GCA_016027095.1	illumina	hostile	Sphingomonas paucimobilis strain FDAARGOS_908 chromosome, complete genome	291138	0	0.0	100.0
GCA_016027115.1	illumina	hostile	Serratia plymuthica strain FDAARGOS_907 chromosome, complete genome	364598	0	0.0	100.0
GCA_016027135.1	illumina	hostile	Thomasclavelia ramosa strain FDAARGOS_906 chromosome, complete genome	216294	0	0.0	100.0
GCA_016027155.1	illumina	hostile	Clostridium perfringens strain FDAARGOS_904 chromosome, complete genome	224056	0	0.0	100.0
GCA_016027375.1	illumina	hostile	Clostridium perfringens strain FDAARGOS_903 chromosome, complete genome	223682	0	0.0	100.0
GCA_016027415.1	illumina	hostile	Brevibacterium casei strain FDAARGOS_902 chromosome, complete genome	264006	0	0.0	100.0
GCA_016027435.1	illumina	hostile	Burkholderia oklahomensis strain FDAARGOS_900 chromosome 1, complete sequence	487968	0	0.0	100.0
GCA_016027455.1	illumina	hostile	Burkholderia humptydooensis strain FDAARGOS_899 chromosome 1, complete sequence	485776	0	0.0	100.0
GCA_016027575.1	illumina	hostile	Bacillus tropicus strain FDAARGOS_897 chromosome, complete genome	381134	0	0.0	100.0
GCA_016027595.1	illumina	hostile	Serratia plymuthica strain FDAARGOS_896 chromosome, complete genome	368456	0	0.0	100.0
GCA_016027615.1	illumina	hostile	Corynebacterium minutissimum strain FDAARGOS_894 chromosome, complete genome	179730	0	0.0	100.0
GCA_016027675.1	illumina	hostile	Serratia plymuthica strain FDAARGOS_895 chromosome, complete genome	356612	0	0.0	100.0
GCA_016027695.1	illumina	hostile	Enterobacter asburiae strain FDAARGOS_892 chromosome, complete genome	317798	0	0.0	100.0
GCA_016027715.1	illumina	hostile	Lactococcus garvieae strain FDAARGOS_893 chromosome, complete genome	140684	2	0.001421625771231981	99.99857837422877
GCA_016027775.1	illumina	hostile	Delftia acidovorans strain FDAARGOS_891 chromosome, complete genome	476700	0	0.0	100.0
GCA_016027815.1	illumina	hostile	Delftia lacustris strain FDAARGOS_890 chromosome, complete genome	484968	2	0.0004123983438082513	99.99958760165619
GCA_016027835.1	illumina	hostile	Serratia plymuthica strain FDAARGOS_889 chromosome, complete genome	362786	0	0.0	100.0
GCA_016027855.1	illumina	hostile	Atlantibacter hermannii strain FDAARGOS_888 chromosome, complete genome	303658	0	0.0	100.0
GCA_016027975.1	illumina	hostile	Lactococcus lactis strain FDAARGOS_887 chromosome, complete genome	172198	0	0.0	100.0
GCA_016028175.1	illumina	hostile	Streptococcus oralis strain FDAARGOS_886 chromosome, complete genome	127586	0	0.0	100.0
GCA_016028235.1	illumina	hostile	Staphylococcus equorum strain FDAARGOS_884 chromosome, complete genome	190484	0	0.0	100.0
GCA_016028255.1	illumina	hostile	Streptococcus oralis strain FDAARGOS_885 chromosome, complete genome	134954	0	0.0	100.0
GCA_016028275.1	illumina	hostile	Staphylococcus carnosus strain FDAARGOS_883 chromosome, complete genome	171424	0	0.0	100.0
GCA_016028295.1	illumina	hostile	Staphylococcus auricularis strain FDAARGOS_882 chromosome, complete genome	147772	0	0.0	100.0
GCA_016028435.1	illumina	hostile	Sphingomonas paucimobilis strain FDAARGOS_881 chromosome, complete genome	301070	0	0.0	100.0
GCA_016028475.1	illumina	hostile	Serratia rubidaea strain FDAARGOS_880 chromosome, complete genome	337078	0	0.0	100.0
GCA_016028495.1	illumina	hostile	Salmonella enterica strain FDAARGOS_878 chromosome, complete genome	331248	0	0.0	100.0
GCA_016028515.1	illumina	hostile	Stutzerimonas frequens strain FDAARGOS_877 chromosome, complete genome	292980	0	0.0	100.0
GCA_016028635.1	illumina	hostile	Stutzerimonas degradans strain FDAARGOS_876 chromosome, complete genome	269474	0	0.0	100.0
GCA_016028655.1	illumina	hostile	Stutzerimonas stutzeri strain FDAARGOS_875 chromosome, complete genome	302358	0	0.0	100.0
GCA_016028675.1	illumina	hostile	Proteus penneri strain FDAARGOS_874 chromosome, complete genome	256720	0	0.0	100.0
GCA_016028695.1	illumina	hostile	Pediococcus pentosaceus strain FDAARGOS_873 chromosome, complete genome	116058	0	0.0	100.0
GCA_016028715.1	illumina	hostile	Neisseria cinerea strain FDAARGOS_871 chromosome, complete genome	122194	0	0.0	100.0
GCA_016028735.1	illumina	hostile	Oligella ureolytica strain FDAARGOS_872 chromosome, complete genome	188856	0	0.0	100.0
GCA_016028755.1	illumina	hostile	Moraxella osloensis strain FDAARGOS_870 chromosome, complete genome	162388	0	0.0	100.0
GCA_016028775.1	illumina	hostile	Moraxella nonliquefaciens strain FDAARGOS_869 chromosome, complete genome	156250	0	0.0	100.0
GCA_016028795.1	illumina	hostile	Macrococcus caseolyticus strain FDAARGOS_868 chromosome, complete genome	144730	0	0.0	100.0
GCA_016028815.1	illumina	hostile	Lactococcus lactis strain FDAARGOS_866 chromosome, complete genome	173712	0	0.0	100.0
GCA_016028835.1	illumina	hostile	Lactococcus lactis strain FDAARGOS_865 chromosome, complete genome	171814	0	0.0	100.0
GCA_016028855.1	illumina	hostile	Rothia kristinae strain FDAARGOS_864 chromosome, complete genome	158516	0	0.0	100.0
GCA_016126915.1	illumina	hostile	Corynebacterium minutissimum strain FDAARGOS_992 chromosome, complete genome	179734	0	0.0	100.0
GCA_016126935.1	illumina	hostile	Stenotrophomonas maltophilia strain FDAARGOS_1044 chromosome, complete genome	333618	0	0.0	100.0
GCA_016126955.1	illumina	hostile	Pseudomonas aeruginosa strain FDAARGOS_1041 chromosome, complete genome	456166	0	0.0	100.0
GCA_016126975.1	illumina	hostile	Pediococcus pentosaceus strain FDAARGOS_1011 chromosome, complete genome	119050	0	0.0	100.0
GCA_016126995.1	illumina	hostile	Escherichia coli strain FDAARGOS_1058 chromosome, complete genome	360064	0	0.0	100.0
GCA_016127015.1	illumina	hostile	Corynebacterium tuberculostearicum strain FDAARGOS_993 chromosome, complete genome	160572	0	0.0	100.0
GCA_016127035.1	illumina	hostile	Leuconostoc pseudomesenteroides strain FDAARGOS_1004 chromosome, complete genome	139694	0	0.0	100.0
GCA_016127055.1	illumina	hostile	Staphylococcus felis strain FDAARGOS_1014 chromosome, complete genome	165302	0	0.0	100.0
GCA_016127075.1	illumina	hostile	Macrococcus caseolyticus strain FDAARGOS_1005 chromosome, complete genome	144448	0	0.0	100.0
GCA_016127095.1	illumina	hostile	Corynebacterium urealyticum strain FDAARGOS_996 chromosome, complete genome	156730	0	0.0	100.0
GCA_016127115.1	illumina	hostile	Aggregatibacter segnis strain FDAARGOS_987 chromosome, complete genome	137500	0	0.0	100.0
GCA_016127135.1	illumina	hostile	Lactococcus lactis strain FDAARGOS_1064 chromosome, complete genome	167518	0	0.0	100.0
GCA_016127155.1	illumina	hostile	Brevibacterium casei strain FDAARGOS_990 chromosome, complete genome	256754	0	0.0	100.0
GCA_016127175.1	illumina	hostile	Veillonella parvula strain FDAARGOS_1046 chromosome, complete genome	142154	0	0.0	100.0
GCA_016127195.1	illumina	hostile	Aeromonas jandaei strain FDAARGOS_986 chromosome, complete genome	303406	4	0.0013183654904649217	99.99868163450954
GCA_016127215.1	illumina	hostile	Haemophilus parainfluenzae strain FDAARGOS_1000 chromosome, complete genome	142780	0	0.0	100.0
GCA_016127235.1	illumina	hostile	Enterococcus hirae strain FDAARGOS_1057 chromosome, complete genome	188792	0	0.0	100.0
GCA_016127255.1	illumina	hostile	Leuconostoc pseudomesenteroides strain FDAARGOS_1003 chromosome, complete genome	140978	0	0.0	100.0
GCA_016127275.1	illumina	hostile	Streptococcus infantarius strain FDAARGOS_1019 chromosome, complete genome	130582	0	0.0	100.0
GCA_016127295.1	illumina	hostile	Leuconostoc mesenteroides strain FDAARGOS_1033 chromosome, complete genome	138384	0	0.0	100.0
GCA_016127315.1	illumina	hostile	Achromobacter deleyi strain FDAARGOS_1050 chromosome, complete genome	465818	0	0.0	100.0
GCA_016127335.1	illumina	hostile	Staphylococcus pseudintermedius strain FDAARGOS_1072 chromosome, complete genome	189290	0	0.0	100.0
GCA_016127355.1	illumina	hostile	Kingella denitrificans strain FDAARGOS_1060 chromosome, complete genome	148004	0	0.0	100.0
GCA_016127375.1	illumina	hostile	Lactococcus garvieae strain FDAARGOS_1002 chromosome, complete genome	152810	0	0.0	100.0
GCA_016127395.1	illumina	hostile	Corynebacterium glucuronolyticum strain FDAARGOS_1053 chromosome, complete genome	194320	0	0.0	100.0
GCA_016127415.1	illumina	hostile	Delftia acidovorans strain FDAARGOS_997 chromosome, complete genome	453112	0	0.0	100.0
GCA_016127435.1	illumina	hostile	Salmonella enterica strain FDAARGOS_1067 chromosome, complete genome	337820	0	0.0	100.0
GCA_016127455.1	illumina	hostile	Staphylococcus equorum strain FDAARGOS_1068 chromosome, complete genome	184822	0	0.0	100.0
GCA_016127475.1	illumina	hostile	Anaerococcus vaginalis strain FDAARGOS_988 chromosome, complete genome	126264	0	0.0	100.0
GCA_016127495.1	illumina	hostile	Kytococcus sedentarius strain FDAARGOS_1061 chromosome, complete genome	185572	0	0.0	100.0
GCA_016127515.1	illumina	hostile	Acinetobacter baumannii strain FDAARGOS_1036 chromosome, complete genome	270026	0	0.0	100.0
GCA_016127535.1	illumina	hostile	Streptococcus salivarius strain FDAARGOS_1045 chromosome, complete genome	154588	0	0.0	100.0
GCA_016127555.1	illumina	hostile	Streptococcus oralis strain FDAARGOS_1020 chromosome, complete genome	128770	0	0.0	100.0
GCA_016127575.1	illumina	hostile	Cupriavidus necator strain FDAARGOS_1030 chromosome 1, complete sequence	494398	8	0.0016181295231776827	99.99838187047682
GCA_016127595.1	illumina	hostile	Fusobacterium canifelinum strain FDAARGOS_999 chromosome, complete genome	161678	0	0.0	100.0
GCA_016127615.1	illumina	hostile	Corynebacterium amycolatum strain FDAARGOS_991 chromosome, complete genome	188596	0	0.0	100.0
GCA_016127635.1	illumina	hostile	Enterococcus casseliflavus strain FDAARGOS_998 chromosome, complete genome	238722	0	0.0	100.0
GCA_016127655.1	illumina	hostile	Brevundimonas diminuta strain FDAARGOS_1026 chromosome, complete genome	236606	4	0.0016905742035282284	99.99830942579648
GCA_016127675.1	illumina	hostile	Campylobacter coli strain FDAARGOS_1028 chromosome, complete genome	125030	0	0.0	100.0
GCA_016127695.1	illumina	hostile	Escherichia coli strain FDAARGOS_1059 chromosome, complete genome	361050	0	0.0	100.0
GCA_016127715.1	illumina	hostile	Staphylococcus saccharolyticus strain FDAARGOS_1074 chromosome, complete genome	156434	0	0.0	100.0
GCA_016127735.1	illumina	hostile	Streptococcus oralis strain FDAARGOS_1075 chromosome, complete genome	132994	0	0.0	100.0
GCA_016127755.1	illumina	hostile	Burkholderia ambifaria strain FDAARGOS_1027 chromosome 1, complete sequence	501574	0	0.0	100.0
GCA_016127775.1	illumina	hostile	Pediococcus pentosaceus strain FDAARGOS_1009 chromosome, complete genome	116796	0	0.0	100.0
GCA_016127795.1	illumina	hostile	Stutzerimonas stutzeri strain FDAARGOS_1065 chromosome, complete genome	295130	0	0.0	100.0
GCA_016127815.1	illumina	hostile	Pediococcus acidilactici strain FDAARGOS_1007 chromosome, complete genome	137886	0	0.0	100.0
GCA_016127835.1	illumina	hostile	Salmonella enterica strain FDAARGOS_1066 chromosome, complete genome	315766	0	0.0	100.0
GCA_016127855.1	illumina	hostile	Actinomyces naeslundii strain FDAARGOS_1037 chromosome, complete genome	210142	0	0.0	100.0
GCA_016127875.1	illumina	hostile	Streptococcus constellatus strain FDAARGOS_1015 chromosome, complete genome	135906	0	0.0	100.0
GCA_016127895.1	illumina	hostile	Moraxella nonliquefaciens strain FDAARGOS_1006 chromosome, complete genome	154890	0	0.0	100.0
GCA_016127915.1	illumina	hostile	Streptococcus oralis strain FDAARGOS_1021 chromosome, complete genome	127050	0	0.0	100.0
GCA_016127935.1	illumina	hostile	Staphylococcus pettenkoferi strain FDAARGOS_1071 chromosome, complete genome	166242	0	0.0	100.0
GCA_016127955.1	illumina	hostile	Actinomyces oris strain FDAARGOS_1051 chromosome, complete genome	212692	56	0.0263291520132398	99.97367084798677
GCA_016127975.1	illumina	hostile	Corynebacterium urealyticum strain FDAARGOS_994 chromosome, complete genome	158948	0	0.0	100.0
GCA_016127995.1	illumina	hostile	Schaalia meyeri strain FDAARGOS_985 chromosome, complete genome	135536	0	0.0	100.0
GCA_016128015.1	illumina	hostile	Brucella anthropi strain FDAARGOS_1039 chromosome 1, complete sequence	344930	0	0.0	100.0
GCA_016128035.1	illumina	hostile	Alcaligenes faecalis strain FDAARGOS_1024 chromosome, complete genome	271528	0	0.0	100.0
GCA_016128055.1	illumina	hostile	Pediococcus acidilactici strain FDAARGOS_1008 chromosome, complete genome	133972	0	0.0	100.0
GCA_016128075.1	illumina	hostile	Corynebacterium bovis strain FDAARGOS_1052 chromosome, complete genome	176814	0	0.0	100.0
GCA_016128095.1	illumina	hostile	Streptococcus dysgalactiae strain FDAARGOS_1017 chromosome, complete genome	144956	0	0.0	100.0
GCA_016128115.1	illumina	hostile	Providencia stuartii strain FDAARGOS_1040 chromosome, complete genome	289014	0	0.0	100.0
GCA_016128135.1	illumina	hostile	Streptococcus dysgalactiae strain FDAARGOS_1016 chromosome, complete genome	151136	0	0.0	100.0
GCA_016128155.1	illumina	hostile	Lactococcus garvieae strain FDAARGOS_1062 chromosome, complete genome	135644	2	0.0014744478192916751	99.99852555218071
GCA_016128175.1	illumina	hostile	Rothia kristinae strain FDAARGOS_1001 chromosome, complete genome	167590	2	0.0011933886270063846	99.998806611373
GCA_016128195.1	illumina	hostile	Paraburkholderia ginsengisoli strain FDAARGOS_1049 chromosome 1, complete sequence	439818	0	0.0	100.0
GCA_016128215.1	illumina	hostile	Pediococcus pentosaceus strain FDAARGOS_1010 chromosome, complete genome	129894	0	0.0	100.0
GCA_016128235.1	illumina	hostile	Escherichia fergusonii strain FDAARGOS_1032 chromosome, complete genome	309820	0	0.0	100.0
GCA_016128255.1	illumina	hostile	Lactococcus garvieae strain FDAARGOS_1063 chromosome, complete genome	147538	0	0.0	100.0
GCA_016128275.1	illumina	hostile	Citrobacter koseri strain FDAARGOS_1029 chromosome, complete genome	315772	0	0.0	100.0
GCA_016403145.1	illumina	hostile	Agrobacterium tumefaciens strain FDAARGOS_1048 chromosome 1, complete sequence	395512	0	0.0	100.0
GCA_016598875.1	illumina	hostile	Burkholderia glumae strain FDAARGOS_921 chromosome 1, complete sequence	456378	0	0.0	100.0
GCA_016599755.1	illumina	hostile	Corynebacterium kefirresidentii strain FDAARGOS_1055 chromosome, complete genome	168214	0	0.0	100.0
GCA_016599775.1	illumina	hostile	Stutzerimonas balearica strain FDAARGOS_1013 chromosome, complete genome	294082	2	0.00068008242599003	99.99931991757401
GCA_016599795.1	illumina	hostile	Staphylococcus pasteuri strain FDAARGOS_1069 chromosome, complete genome	165654	0	0.0	100.0
GCA_016599815.1	illumina	hostile	Anaerococcus obesiensis strain FDAARGOS_989 chromosome, complete genome	126308	0	0.0	100.0
GCA_016599835.1	illumina	hostile	Elizabethkingia bruuniana strain FDAARGOS_1031 chromosome, complete genome	308800	0	0.0	100.0
GCA_016724565.1	illumina	hostile	Staphylococcus condimenti strain FDAARGOS_1148 chromosome, complete genome	177956	0	0.0	100.0
GCA_016724665.1	illumina	hostile	Staphylococcus carnosus strain FDAARGOS_1147 chromosome, complete genome	179336	0	0.0	100.0
GCA_016724785.1	illumina	hostile	Fusobacterium canifelinum strain FDAARGOS_1126 chromosome, complete genome	156814	0	0.0	100.0
GCA_016724805.1	illumina	hostile	Sutterella wadsworthensis strain FDAARGOS_1159 chromosome, complete genome	201768	0	0.0	100.0
GCA_016724825.1	illumina	hostile	Weizmannia coagulans strain FDAARGOS_1160 chromosome, complete genome	222856	0	0.0	100.0
GCA_016724845.1	illumina	hostile	Sphingobacterium spiritivorum strain FDAARGOS_1146 chromosome, complete genome	351684	0	0.0	100.0
GCA_016724865.1	illumina	hostile	Peribacillus psychrosaccharolyticus strain FDAARGOS_1161 chromosome, complete genome	312086	0	0.0	100.0
GCA_016724885.1	illumina	hostile	Streptococcus dysgalactiae strain FDAARGOS_1157 chromosome, complete genome	143412	0	0.0	100.0
GCA_016725005.1	illumina	hostile	Streptococcus constellatus strain FDAARGOS_1156 chromosome, complete genome	126884	0	0.0	100.0
GCA_016725165.1	illumina	hostile	Streptococcus lutetiensis strain FDAARGOS_1158 chromosome, complete genome	119568	0	0.0	100.0
GCA_016725185.1	illumina	hostile	Streptococcus anginosus strain FDAARGOS_1155 chromosome, complete genome	152270	0	0.0	100.0
GCA_016725205.1	illumina	hostile	Staphylococcus pasteuri strain FDAARGOS_1152 chromosome, complete genome	170422	0	0.0	100.0
GCA_016725225.1	illumina	hostile	Mobiluncus curtisii strain FDAARGOS_1127 chromosome, complete genome	143540	0	0.0	100.0
GCA_016725245.1	illumina	hostile	Mammaliicoccus vitulinus strain FDAARGOS_1153 chromosome, complete genome	169568	0	0.0	100.0
GCA_016725265.1	illumina	hostile	Staphylococcus equorum strain FDAARGOS_1150 chromosome, complete genome	186494	0	0.0	100.0
GCA_016725285.1	illumina	hostile	Staphylococcus pasteuri strain FDAARGOS_1151 chromosome, complete genome	175648	0	0.0	100.0
GCA_016725305.1	illumina	hostile	Staphylococcus equorum strain FDAARGOS_1149 chromosome, complete genome	182404	0	0.0	100.0
GCA_016725325.1	illumina	hostile	Sphingobacterium spiritivorum strain FDAARGOS_1145 chromosome, complete genome	342354	0	0.0	100.0
GCA_016725465.1	illumina	hostile	Sphingobacterium multivorum strain FDAARGOS_1142 chromosome, complete genome	436790	0	0.0	100.0
GCA_016725645.1	illumina	hostile	Sphingobacterium spiritivorum strain FDAARGOS_1144 chromosome, complete genome	342552	0	0.0	100.0
GCA_016725825.1	illumina	hostile	Enterobacter hormaechei strain FDAARGOS_1078 chromosome, complete genome	338684	0	0.0	100.0
GCA_016725865.1	illumina	hostile	Sphingobacterium multivorum strain FDAARGOS_1143 chromosome, complete genome	401680	0	0.0	100.0
GCA_016725905.1	illumina	hostile	Proteus mirabilis strain FDAARGOS_1079 chromosome, complete genome	269036	0	0.0	100.0
GCA_016725925.1	illumina	hostile	Sphingobacterium multivorum strain FDAARGOS_1141 chromosome, complete genome	419822	2	0.00047639237581641744	99.99952360762418
GCA_016725945.1	illumina	hostile	Acinetobacter johnsonii strain FDAARGOS_1093 chromosome, complete genome	257722	0	0.0	100.0
GCA_016726045.1	illumina	hostile	Sphingobacterium multivorum strain FDAARGOS_1140 chromosome, complete genome	377044	2	0.0005304420704214893	99.99946955792957
GCA_016726205.1	illumina	hostile	Acinetobacter ursingii strain FDAARGOS_1095 chromosome, complete genome	240834	0	0.0	100.0
GCA_016726245.1	illumina	hostile	Brevibacterium casei strain FDAARGOS_1100 chromosome, complete genome	256458	0	0.0	100.0
GCA_016726265.1	illumina	hostile	Campylobacter lari strain FDAARGOS_1101 chromosome, complete genome	100892	0	0.0	100.0
GCA_016726285.1	illumina	hostile	Shigella boydii strain FDAARGOS_1139 chromosome, complete genome	303264	0	0.0	100.0
GCA_016726305.1	illumina	hostile	Bacteroides caccae strain FDAARGOS_1097 chromosome, complete genome	304730	0	0.0	100.0
GCA_016726325.1	illumina	hostile	Serratia plymuthica strain FDAARGOS_1138 chromosome, complete genome	365626	0	0.0	100.0
GCA_016726345.1	illumina	hostile	Acinetobacter ursingii strain FDAARGOS_1096 chromosome, complete genome	232482	0	0.0	100.0
GCA_016726365.1	illumina	hostile	Rothia aeria strain FDAARGOS_1137 chromosome, complete genome	172262	0	0.0	100.0
GCA_016726485.1	illumina	hostile	Peptoniphilus harei strain FDAARGOS_1136 chromosome, complete genome	128638	0	0.0	100.0
GCA_016726625.1	illumina	hostile	Acinetobacter johnsonii strain FDAARGOS_1094 chromosome, complete genome	234960	0	0.0	100.0
GCA_016726765.1	illumina	hostile	Pediococcus acidilactici strain FDAARGOS_1133 chromosome, complete genome	130226	0	0.0	100.0
GCA_016726885.1	illumina	hostile	Pediococcus pentosaceus strain FDAARGOS_1134 chromosome, complete genome	116092	0	0.0	100.0
GCA_016726945.1	illumina	hostile	Moraxella osloensis strain FDAARGOS_1130 chromosome, complete genome	169780	0	0.0	100.0
GCA_016726965.1	illumina	hostile	Mobiluncus curtisii strain FDAARGOS_1128 chromosome, complete genome	144282	0	0.0	100.0
GCA_016726985.1	illumina	hostile	Myroides odoratus strain FDAARGOS_1131 chromosome, complete genome	282832	6	0.0021214006901623577	99.99787859930984
GCA_016727005.1	illumina	hostile	Myroides odoratus strain FDAARGOS_1132 chromosome, complete genome	277848	0	0.0	100.0
GCA_016727125.1	illumina	hostile	Enterococcus hirae strain FDAARGOS_1124 chromosome, complete genome	195226	0	0.0	100.0
GCA_016727265.1	illumina	hostile	Enterococcus hirae strain FDAARGOS_1125 chromosome, complete genome	204300	0	0.0	100.0
GCA_016727305.1	illumina	hostile	Enterococcus casseliflavus strain FDAARGOS_1122 chromosome, complete genome	243400	0	0.0	100.0
GCA_016727325.1	illumina	hostile	Enterococcus casseliflavus strain FDAARGOS_1121 chromosome, complete genome	243364	0	0.0	100.0
GCA_016727345.1	illumina	hostile	Enterococcus casseliflavus strain FDAARGOS_1120 chromosome, complete genome	236566	0	0.0	100.0
GCA_016727365.1	illumina	hostile	Corynebacterium ulcerans strain FDAARGOS_1118 chromosome, complete genome	163584	0	0.0	100.0
GCA_016727385.1	illumina	hostile	Staphylococcus epidermidis strain FDAARGOS_1083 chromosome, complete genome	165308	0	0.0	100.0
GCA_016727405.1	illumina	hostile	Bacillus cereus strain FDAARGOS_1084 chromosome, complete genome	354920	0	0.0	100.0
GCA_016727425.1	illumina	hostile	Klebsiella pneumoniae strain FDAARGOS_1076 chromosome, complete genome	360454	0	0.0	100.0
GCA_016727445.1	illumina	hostile	Morganella morganii strain FDAARGOS_1085 chromosome, complete genome	265002	0	0.0	100.0
GCA_016727585.1	illumina	hostile	Staphylococcus aureus strain FDAARGOS_1086 chromosome, complete genome	185098	0	0.0	100.0
GCA_016727765.1	illumina	hostile	Yersinia enterocolitica strain FDAARGOS_1082 chromosome, complete genome	302752	0	0.0	100.0
GCA_016727905.1	illumina	hostile	Yersinia enterocolitica strain FDAARGOS_1090 chromosome, complete genome	306216	0	0.0	100.0
GCA_016728005.1	illumina	hostile	Serratia liquefaciens strain FDAARGOS_1081 chromosome, complete genome	367766	0	0.0	100.0
GCA_016728025.1	illumina	hostile	Listeria monocytogenes strain FDAARGOS_1080 chromosome, complete genome	197582	0	0.0	100.0
GCA_016728045.1	illumina	hostile	Serratia ureilytica strain FDAARGOS_1089 chromosome, complete genome	346696	0	0.0	100.0
GCA_016728065.1	illumina	hostile	Pseudomonas fluorescens strain FDAARGOS_1088 chromosome, complete genome	408974	2	0.0004890286424075858	99.9995109713576
GCA_016728085.1	illumina	hostile	Escherichia coli strain FDAARGOS_1077 chromosome, complete genome	339426	0	0.0	100.0
GCA_016728105.1	illumina	hostile	Corynebacterium striatum strain FDAARGOS_1115 chromosome, complete genome	193656	0	0.0	100.0
GCA_016728205.1	illumina	hostile	Corynebacterium striatum strain FDAARGOS_1116 chromosome, complete genome	177712	0	0.0	100.0
GCA_016728365.1	illumina	hostile	Corynebacterium tuberculostearicum strain FDAARGOS_1117 chromosome, complete genome	163456	0	0.0	100.0
GCA_016728505.1	illumina	hostile	Corynebacterium riegelii strain FDAARGOS_1114 chromosome, complete genome	167948	0	0.0	100.0
GCA_016728625.1	illumina	hostile	Corynebacterium propinquum strain FDAARGOS_1113 chromosome, complete genome	164086	0	0.0	100.0
GCA_016728645.1	illumina	hostile	Corynebacterium glucuronolyticum strain FDAARGOS_1111 chromosome, complete genome	196126	0	0.0	100.0
GCA_016728665.1	illumina	hostile	Corynebacterium propinquum strain FDAARGOS_1112 chromosome, complete genome	165342	0	0.0	100.0
GCA_016728685.1	illumina	hostile	Corynebacterium aurimucosum strain FDAARGOS_1110 chromosome, complete genome	188632	0	0.0	100.0
GCA_016728705.1	illumina	hostile	Corynebacterium aurimucosum strain FDAARGOS_1109 chromosome, complete genome	182518	0	0.0	100.0
GCA_016728725.1	illumina	hostile	Corynebacterium amycolatum strain FDAARGOS_1108 chromosome, complete genome	165074	0	0.0	100.0
GCA_016728745.1	illumina	hostile	Corynebacterium amycolatum strain FDAARGOS_1107 chromosome, complete genome	180436	0	0.0	100.0
GCA_016728765.1	illumina	hostile	Chryseobacterium sp. FDAARGOS 1104 strain FDAARGOS_1104 chromosome, complete genome	246632	0	0.0	100.0
GCA_016728785.1	illumina	hostile	Thomasclavelia ramosa strain FDAARGOS_1105 chromosome, complete genome	236248	0	0.0	100.0
GCA_016728805.1	illumina	hostile	Acinetobacter johnsonii strain FDAARGOS_1092 chromosome, complete genome	275708	0	0.0	100.0
GCA_016728825.1	illumina	hostile	Achromobacter xylosoxidans strain FDAARGOS_1091 chromosome, complete genome	460132	0	0.0	100.0
GCA_016888885.1	illumina	hostile	Moraxella osloensis strain FDAARGOS_1202 chromosome, complete genome	183946	0	0.0	100.0
GCA_016888905.1	illumina	hostile	Parabacteroides distasonis strain FDAARGOS_1234 chromosome, complete genome	320802	0	0.0	100.0
GCA_016888925.1	illumina	hostile	Escherichia coli strain FDAARGOS_1260 chromosome, complete genome	345352	0	0.0	100.0
GCA_016888945.1	illumina	hostile	Phocaeicola coprophilus strain FDAARGOS_1220 chromosome, complete genome	274240	0	0.0	100.0
GCA_016888965.1	illumina	hostile	Escherichia coli strain FDAARGOS_1261 chromosome, complete genome	336674	0	0.0	100.0
GCA_016888985.1	illumina	hostile	Chromobacterium violaceum strain FDAARGOS_1274 chromosome, complete genome	320536	0	0.0	100.0
GCA_016889005.1	illumina	hostile	Clostridium] scindens strain FDAARGOS_1227 chromosome, complete genome	241274	0	0.0	100.0
GCA_016889025.1	illumina	hostile	Escherichia coli strain FDAARGOS_1251 chromosome, complete genome	349158	0	0.0	100.0
GCA_016889045.1	illumina	hostile	Escherichia coli strain FDAARGOS_1255 chromosome, complete genome	337566	0	0.0	100.0
